Metric,Current Value,Average,Min,Max,Threshold,Status
FPS,732.92,652.36,262.62,795.10,60.00,WARNING
Memory Usage (MB),162.00,162.00,162.00,162.00,2000.00,OK
GPU Frame Time (ms),0.00,0.13,0.00,0.24,16.67,OK
