Metric,Current Value,Average,Min,Max,Threshold,Status
FPS,672.36,728.82,262.62,842.96,60.00,WARNING
Memory Usage (MB),162.00,162.00,162.00,162.00,2000.00,OK
GPU Frame Time (ms),0.22,0.17,0.00,0.34,16.67,OK
