Metric,Current Value,Average,Min,Max,Threshold,Status
FPS,1126.38,750.31,8.76,1155.40,60.00,WARNING
Memory Usage (MB),183.00,177.00,169.00,183.00,2000.00,OK
GPU Frame Time (ms),0.15,0.31,0.08,1.68,16.67,OK
