Metric,Current Value,Average,Min,Max,Threshold,Status
FPS,748.78,703.46,262.62,831.26,60.00,WARNING
Memory Usage (MB),162.00,162.00,162.00,162.00,2000.00,OK
GPU Frame Time (ms),0.12,0.15,0.00,0.31,16.67,OK
