Metric,Current Value,Average,Min,Max,Threshold,Status
FPS,760.98,723.70,262.62,842.96,60.00,WARNING
Memory Usage (MB),162.00,162.00,162.00,162.00,2000.00,OK
GPU Frame Time (ms),0.31,0.19,0.00,0.38,16.67,OK
