Metric,Current Value,Average,Min,Max,Threshold,Status
FPS,999.30,720.69,8.76,1155.40,60.00,WARNING
Memory Usage (MB),181.00,176.35,169.00,181.00,2000.00,OK
GPU Frame Time (ms),0.10,0.33,0.08,1.68,16.67,OK
